accession,date,pango
OL850157.1,2021-10-20,AY.25
OM134633.1,2021-12-21,BA.1.15
OM445137.1,2022-01-03,BA.1.1
OD995677.1,2021-02-14,B.1.1.7
OB982213.1,2020-10-14,B.1.177.57
OM167744.1,2021-12-27,AY.103
OD952499.1,2021-01-25,B.1.1.7
OD977211.1,2021-01-22,B.1.1.7
OM572952.1,2022-01-26,BA.1.1
OU977524.1,2021-10-14,AY.4
ON459238.1,2021-09-05,AY.57
OU958105.1,2021-09-13,AY.4
OV309893.1,2021-11-11,AY.127
OM667046.1,2022-01-26,BA.1
OL749042.1,2021-11-16,AY.100
OL778110.1,2021-11-19,AY.119
OL924724.1,2021-10-29,AY.44
OC998338.1,2020-11-11,B.1.177
OW503276.1,2021-12-01,AY.4.2
ON441488.1,2021-07-28,AY.42
ON221271.1,2022-01-27,BA.1.1.18
OM017407.1,2021-12-16,AY.103
OM521049.1,2022-01-20,BA.1
OM413332.1,2022-01-13,BA.1
OM387967.1,2022-01-04,BA.1
OD924469.1,2020-12-26,B.1.1.7
MZ454976.1,2021-05-04,B.1.1.7
OD945276.1,2021-01-15,B.1.1.7
MZ241019.1,2021-04-27,P.1
MW992862.1,2021-03-21,B.1.429
OM059869.1,2021-11-22,AY.3
OM653096.1,2022-01-19,BA.1.1.18
OX083542.1,2022-01-31,BA.1
ON225955.1,2022-01-14,BA.1.1
OM335803.1,2021-12-30,AY.3
OK650157.1,2020-12-01,B.1.2
OA996753.1,2020-10-05,B.1.177.9
OM354889.1,2022-01-06,BA.1.1
HG999334.1,2020-11-25,B.1.177
OM011878.1,2021-11-27,AY.118
OM410384.1,2022-01-10,BA.1.1
OM064594.1,2021-12-14,AY.116.1
OC997058.1,2020-11-05,W.3
MW586187.1,2021-01-28,B.1.2
MZ045014.1,2021-04-11,B.1.1.7
OM542878.1,2022-01-14,BA.1.15
OV309047.1,2021-11-08,AY.43
OB996329.1,2020-10-26,B.1.177
OM488444.1,2022-01-19,B.1.1
OL838588.1,2021-11-12,AY.3
OD898488.1,2020-10-30,B.1.471
MZ131880.1,2021-04-19,B.1.1.7
OL734124.1,2021-11-16,AY.44
OM739055.1,2020-09-16,B.1.1
OM328485.1,2021-11-26,AY.25
OB990167.1,2020-10-20,B.1.177.16
MW586434.1,2021-01-21,B.1.243
OM413293.1,2022-01-13,BA.1.1
OM213354.1,2021-12-23,BA.1.1.18
ON277511.1,2021-09-08,AY.4
OM493349.1,2022-01-12,BA.1
OM661899.1,2022-01-22,BA.1.1
OD991250.1,2021-02-02,B.1.1.7
OM343251.1,2022-01-01,BA.1
MZ499903.1,2021-05-10,B.1.1.7
MZ281340.1,2021-05-05,P.1
OM927849.1,2022-01-11,BA.1.18
ON212876.1,2021-10-21,AY.46.4
OD970108.1,2021-02-05,B.1.1.7
OM344578.1,2022-01-05,BA.1.15
OD951466.1,2021-01-22,B.1.1.7
MZ444268.1,2021-01-24,B.1.2
OM529353.1,2022-01-23,BA.1.20
MZ132265.1,2021-04-17,B.1.1.7
OD972929.1,2021-02-01,B.1.1.7
OU806807.1,2020-12-26,B.1.36.2
MZ746591.1,2021-04-13,B.1.1.519
MZ153806.1,2021-04-19,B.1.526
OD940653.1,2021-01-12,B.1.1.7
MZ070283.1,2021-04-16,P.1
OM774729.1,2022-01-31,BA.1
OU385581.1,2021-01-16,B.1.1.7
MW994117.1,2021-03-11,B.1.1.7
OX088294.1,2021-12-28,BA.1.18
OM335757.1,2021-12-30,BA.1.15
OM453836.1,2021-03-06,B.1.258
OV884228.1,2022-01-29,AY.122
MZ454218.1,2021-03-05,B.1.1.7
OM492114.1,2022-01-19,BA.1.1
ON596696.1,2021-12-24,BA.1
ON960742.1,2022-01-05,BA.1.15
MZ022095.1,2021-03-28,B.1.1.7
OM407602.1,2022-01-03,BA.1.1.18
OM233856.1,2021-12-31,BA.1.15
OM035821.1,2021-12-14,AY.103
OL951442.1,2021-11-08,AY.44
MW964070.1,2021-03-11,B.1.1.7
OM404365.1,2021-12-30,BA.1.1.2
OL984687.1,2021-12-10,AY.103
OL904686.1,2021-12-06,AY.44
OM041632.1,2021-12-10,AY.44
OV007509.2,2021-10-19,AY.4
OC997317.1,2020-11-05,B.1.36.39
MZ228979.1,2021-04-27,B.1.1.7
OM362883.1,2022-01-13,BA.1.1
OW464389.1,2022-01-13,BA.2
MW645940.1,2020-09-16,B.1.403
OK025711.1,2021-07-29,B.1.617.2
OU593188.1,2021-08-05,AY.4
OM245462.1,2021-12-20,AY.120.1
MZ451492.1,2021-02-27,B.1.2
OL833118.1,2021-11-17,AY.103
OM047884.1,2021-11-29,AY.103
OL747493.1,2021-11-13,AY.100
MZ202417.1,2021-04-08,B.1.1.519
MZ132228.1,2021-04-18,B.1.526
OM128689.1,2021-02-25,B.1.1.519
OB996136.1,2020-10-27,B.1.177
OD946738.1,2021-01-14,B.1.1.7
MZ002615.1,2021-03-30,B.1.1.7
OU800732.1,2020-09-16,B.1.177
ON189414.1,2022-01-27,BA.1.1
MW891385.1,2021-03-21,B.1.1.519
OL777627.1,2021-11-18,AY.103
MW903777.1,2021-03-24,B.1.526
OM081631.1,2021-12-13,AY.100
OL928809.1,2021-11-11,AY.103
ON039876.1,2021-12-26,BA.1.1
OU803303.1,2021-06-03,AY.9
OM078725.1,2021-12-16,BA.1.1
OW414515.1,2022-01-23,BA.1.1
OK189646.1,2021-09-10,AY.122
ON579461.1,2021-09-09,AY.99.2
MZ315838.1,2021-05-06,B.1.526
OX088587.1,2022-01-07,BA.1.1
MZ713752.1,2021-07-26,P.1.7
OL930394.1,2021-11-18,AY.25
OD906544.1,2020-12-12,W.4
OM274468.1,2021-10-05,AY.75
OM462169.1,2021-07-19,B.1.617.2
ON339579.1,2020-12-11,B.1.429
OM225520.1,2021-12-28,BA.1.1
ON488196.1,2021-10-13,AY.20
ON268704.1,2021-11-29,AY.43
OD929457.1,2021-01-08,B.1.1.7
OL784288.1,2021-11-24,AY.103
OL850852.1,2021-10-02,AY.44
OM263995.1,2022-01-03,B.1.1
OL939976.1,2021-11-24,AY.44
MW914542.1,2021-03-25,B.1.351
OL847149.1,2021-12-02,AY.103
MW696628.1,2021-02-15,B.1.2
MZ100611.1,2021-04-16,B.1.1.7
OM182332.1,2021-12-06,AY.26
OL910460.1,2021-12-08,B.1.617.2
ON576637.1,2021-06-14,P.1.14
OW102272.1,2021-11-29,AY.4
OM525022.1,2021-11-12,AY.54
ON446034.1,2021-11-22,AY.34.1
ON334026.1,2021-12-15,AY.25
OM098859.1,2021-12-19,BA.1
OL369059.1,2021-04-27,B.1.1.7
MZ100256.1,2021-04-12,B.1.429
OL969470.1,2021-12-04,AY.74
MZ024108.1,2021-03-31,B.1.1.7
OK340971.1,2021-03-25,B.1.1.7
OL865676.1,2021-11-26,AY.103
MZ194118.1,2021-04-27,B.1.1.7
OM161210.1,2021-12-12,AY.119
OB990441.1,2020-10-26,B.1.177.17
OB998700.1,2020-11-08,B.1.177
OM399731.1,2022-01-13,BA.1.20
OM053395.1,2021-12-08,AY.44
MZ817727.1,2021-04-12,B.1.1.7
OD977518.1,2021-01-19,B.1.1.7
MZ298054.1,2021-05-05,B.1.526
OD917484.1,2020-12-11,B.1.177
OW500091.1,2022-01-12,BA.1.17.2
OL901545.1,2020-11-04,B.1.2
OB982567.1,2020-10-15,B.1.236
MZ641330.1,2021-05-04,B.1.526
OM446816.1,2022-01-14,BA.1.15
ON891748.1,2021-06-19,AY.30
OB998615.1,2020-11-09,B.1.177.4
ON343502.1,2020-12-15,B.1.429
OU809549.1,2021-07-15,AY.6
OL850209.1,2021-10-18,B.1.617.2
OU862532.1,2021-08-26,AY.4
OM351727.1,2022-01-07,BA.1.1.14
MZ473853.1,2020-10-19,B.1.400
OL872060.1,2021-11-15,AY.25
OA984927.1,2020-09-24,B.1.1.311
MZ358744.1,2021-05-18,B.1.1.7
MZ195456.1,2021-04-25,B.1.1.7
OL522619.1,2021-06-23,B.1.526
OV009111.1,2021-10-18,AY.4
MZ073574.1,2021-04-12,B.1.1.7
ON927928.1,2021-12-14,BA.2
OU662423.1,2021-08-07,AY.4
MZ341261.1,2021-05-12,P.1
MZ024736.1,2021-03-30,B.1.1.7
ON085824.1,2022-01-26,BA.1.1
OM182392.1,2021-12-03,AY.103
OB984344.1,2020-10-12,B.1.177
OU802728.1,2021-09-09,AY.4
OL752987.1,2021-10-04,AY.44
OM215081.1,2021-12-29,BA.1
OM477086.1,2022-01-19,BA.1.1.18
OU896165.1,2021-09-23,AY.4
MZ493470.1,2021-05-24,B.1.637
OL706621.1,2021-04-05,B.1.2
MW701951.1,2020-12-02,B.1.2
OK548482.1,2021-01-13,B.1.1
ON578556.1,2021-08-10,AY.99.2
ON922928.1,2022-01-14,AY.121
OM661478.1,2022-01-20,BA.1.1
OM485013.1,2020-11-06,B.1.2
MZ641566.1,2021-01-27,B.1.526
ON518572.1,2022-01-25,BA.1.1
OM036111.1,2021-12-14,AY.103
OL791877.1,2021-09-16,AY.44
OD927737.1,2021-01-04,B.1.1.7
OA991995.1,2020-10-01,B.1.1.37
MZ780057.1,2020-12-30,B.1.575
ON222004.1,2021-12-25,BA.1.1
OL423907.1,2021-09-23,AY.44
OB995273.1,2020-11-01,B.1.177
OM135133.1,2021-12-21,BA.1.17.2
OL732521.1,2021-11-10,AY.103
MW975832.1,2021-02-26,B.1.526
OM264041.1,2022-01-03,BA.1.20
MW731443.1,2021-02-02,B.1.2
MZ238355.1,2021-03-31,Q.3
OM684459.1,2022-01-26,BA.1.20
OK002687.1,2021-08-02,B.1.617.2
MZ239747.1,2021-04-15,B.1.526
OW516099.1,2022-01-04,BA.1.1
OM398382.1,2022-01-08,BA.1.17.2
OW459992.1,2022-01-05,BA.1.15
ON810245.1,2022-01-11,BA.1.1
OL782636.1,2021-11-16,AY.26
OU803371.1,2021-09-02,AY.4
OD921484.1,2020-11-12,B.1.177.54
OD973539.1,2021-02-02,B.1.1.7
MW808447.1,2021-03-09,B.1.1.519
MW969437.1,2021-03-25,B.1.1.7
OU488022.1,2021-07-17,AY.5
OL919089.1,2021-12-02,AY.4
OM700523.1,2022-02-01,BA.1.1
OM807254.1,2022-01-05,BA.1.1.18
OW510475.1,2022-01-11,BA.1.15
OW107962.1,2021-12-18,BA.1.15.1
ON010933.1,2022-01-14,BA.1.1
OU808890.1,2021-08-30,AY.43
MZ167166.1,2021-04-07,B.1.429
MZ029829.1,2021-04-05,B.1.1.7
OK653468.1,2020-12-15,B.1.234
MZ132346.1,2021-04-16,B.1.1.7
ON775110.1,2022-01-06,BA.1.1
MZ202131.1,2021-04-25,B.1.526
ON118867.1,2022-01-24,B.1.1.529
OM053291.1,2021-12-03,AY.25
OW417230.1,2021-12-21,BA.1.17.2
MW560919.1,2021-01-18,B.1.429
OL810098.1,2021-04-05,B.1.1.519
OK188555.1,2021-02-17,B.1.2
OL867294.1,2021-09-03,AY.103
OW518859.1,2021-11-18,AY.43
OM458527.1,2021-12-27,BA.1.15
MZ637841.1,2021-02-16,B.1.526
OU386867.1,2021-04-14,B.1.1.7
OD989861.1,2021-02-02,B.1.1.7
OB983639.1,2020-10-14,W.4
MZ670079.1,2021-05-25,B.1.1.7
OL734586.1,2021-11-08,AY.118
OU012728.1,2021-02-15,B.1.1.7
ON207964.1,2021-12-25,BA.1.15
OW518379.1,2022-01-26,BA.1
OW512637.1,2021-12-22,BA.1
MZ448688.1,2021-05-03,B.1.1.7
OL968039.1,2021-11-29,AY.114
OD907565.1,2020-11-17,B.1.177.4
OW104307.1,2022-01-02,BA.1.17.2
MZ259231.1,2021-03-10,B.1.311
OW460248.1,2021-09-14,AY.4
OM621994.1,2022-01-10,BA.1.1
MZ288206.1,2021-05-04,B.1.526
ON226461.1,2022-01-26,BA.1.1
MZ237813.1,2021-04-30,B.1.1.7
MZ274693.1,2021-05-01,B.1.1.7
OM339384.1,2021-08-16,AY.44
OB997569.1,2020-11-07,B.1.1.307
OM255962.1,2021-09-04,AY.25.1
OM569149.1,2022-01-21,BA.1.1
OM624525.1,2022-01-24,BA.2.10
MZ268381.1,2021-05-04,P.1
OL903687.1,2021-12-05,AY.103
MZ536564.1,2021-06-11,P.1
OM068937.1,2021-12-03,AY.25.1
OM309651.1,2021-12-24,BA.1.1.18
ON425305.1,2021-10-29,AY.100
MW930896.1,2021-03-28,B.1.1.7
OL732538.1,2021-11-10,AY.100
ON134757.1,2021-04-02,B.1.2
MZ244426.1,2021-05-08,B.1.1.7
OM300607.1,2022-01-03,BA.1.1
OM627143.1,2022-01-26,BA.1.1
OU012486.1,2021-02-15,B.1.1.7
OM178590.1,2021-12-20,AY.100
OM566351.1,2022-01-20,BA.1.1
OM259120.1,2021-12-14,AY.107
MW849032.1,2021-03-14,B.1.1.316
OM261354.1,2021-12-27,BA.1.1
OW461583.1,2021-11-02,AY.46.5
OU392742.1,2021-06-27,AY.4
OD939247.1,2021-01-11,B.1.177
OL821780.1,2021-12-01,AY.44
MZ415688.1,2021-05-09,B.1.1.7
OB986332.1,2020-10-19,B.1.1.165
MW454698.1,2020-11-09,B.1.2
MW931151.1,2021-03-28,B.1.1.7
MZ228463.1,2021-04-27,B.1.526
OL926823.1,2021-11-22,AY.103
OU896948.1,2021-10-07,AY.4
OB995297.1,2020-11-02,B.1.177
OD975943.1,2021-01-25,B.1.1.7
MW666667.1,2021-01-30,B.1.2
OK249726.1,2021-06-17,B.1.1.7
OU419596.1,2021-06-18,AY.4
OA996181.1,2020-10-07,B.1.1.1
MZ233582.1,2021-01-28,B.1.2
ON029783.1,2022-01-19,BA.1.1
OM626486.1,2022-01-26,BA.1.1
OM366635.1,2021-12-30,BA.1.17
MW731343.1,2021-02-08,B.1.561
OW471528.1,2022-01-02,BA.1.16
MW403611.1,2020-09-25,B.1.396
OV092228.1,2021-10-13,AY.4
OB997222.1,2020-11-10,B.1.177.18
OK221155.1,2021-04-15,B.1.1.7
OM153363.1,2021-07-09,AY.103
ON084946.1,2020-09-16,B.1.240
OM091424.1,2021-12-21,BA.1.1
OU706891.1,2021-08-13,AY.9.2
OD984266.1,2021-02-11,B.1.1.7
MZ164604.1,2021-04-21,B.1.1.7
OL750232.1,2021-11-16,AY.113
MZ282385.1,2021-05-01,C.36.3.1
OM625576.1,2022-01-25,BA.1.15
OL709217.1,2021-11-13,AY.113
ON579398.1,2021-09-11,AY.99.2
OK220988.1,2021-03-31,B.1.1.7
OL939118.1,2021-11-23,AY.25
OM449004.1,2022-01-04,BA.1.1
MW720613.1,2021-02-09,B.1.1.7
OU896025.1,2021-10-04,AY.3
ON601300.1,2021-11-21,AY.20
OD976205.1,2020-11-21,B.1.177
OM260497.1,2021-12-26,AY.103
OL717595.1,2021-11-19,AY.3
OW464961.1,2022-01-06,BA.1.1
MZ058721.1,2021-04-09,B.1.1.7
OM161696.1,2021-12-17,AY.103
OC999376.1,2020-10-30,B.1.160
OA999366.1,2020-09-18,B.1.177
OM529708.1,2022-01-24,BA.1.1.18
MZ274662.1,2021-05-01,B.1.1.7
OD937868.1,2021-01-12,B.1.1.7
MZ214205.1,2021-04-11,B.1.1.7
OD954886.1,2021-01-20,B.1.1.7
OM050247.1,2021-12-14,AY.103
MZ193557.1,2021-04-22,B.1.1.7
MZ283297.1,2021-04-23,B.1.1.7
OM197311.1,2021-12-26,BA.1.1
OM464929.1,2022-01-17,BA.1
OM053835.1,2021-12-10,AY.3
OM295106.1,2021-12-29,AY.54
OD962032.1,2021-01-25,B.1.1.7
MZ055191.1,2021-04-06,B.1.1.7
ON036713.1,2022-01-14,BA.1.1
OV198992.1,2021-11-03,AY.4
MW865249.1,2021-03-10,B.1.1.7
OM173258.1,2021-12-22,BA.1
MZ600047.1,2021-05-28,B.1.1.7
OM411539.1,2022-01-11,BA.1.1
OW469206.1,2021-11-02,AY.4.2.2
OL969612.1,2021-12-05,AY.39
ON617084.1,2022-01-21,BA.1.1
OW520415.1,2022-01-05,BA.1.17.2
OM015687.1,2021-12-11,AY.3
OD968090.1,2021-01-30,B.1.1.7
OD919775.1,2020-12-21,B.1.1.7
OM765126.1,2022-01-04,BA.1.1.18
OD933125.1,2021-01-07,B.1.1.7
MZ543427.1,2021-01-05,B.1.2
ON473111.1,2021-11-15,AY.25.1
OD961180.1,2021-01-25,B.1.1.7
OK218559.1,2021-03-31,B.1.526
OW104596.1,2021-12-04,AY.43
OM226669.1,2021-12-29,BA.1.1
ON023439.1,2021-12-14,AY.103
MZ022664.1,2021-04-01,B.1.1.7
OK192321.1,2021-03-22,B.1.427
OM344342.1,2022-01-04,BA.1.1
OD996884.1,2021-02-11,B.1.1.7
OK571015.1,2021-07-09,B.1.1.7
OM189223.1,2021-12-15,AY.39
OK548635.1,2021-01-05,B.1
OD969785.1,2021-01-30,B.1.1.7
OW484690.1,2021-07-12,AY.4
OM077577.1,2021-12-17,BA.1.1
MZ022178.1,2021-03-29,B.1.2
OM054619.1,2021-12-14,AY.100
OM694234.1,2022-01-27,BA.1.15
MZ202076.1,2021-04-25,B.1.1.7
OB995959.1,2020-10-26,B.1.177.6
MZ060217.1,2021-04-08,B.1.526
MW904488.1,2021-03-15,B.1.2
MZ640424.1,2021-04-09,B.1.526
OM112006.1,2021-09-22,AY.44
OD934789.1,2021-01-08,B.1.1.7
OL736634.1,2021-11-15,AY.4
OM095140.1,2020-12-21,B.1
OX068475.1,2022-01-14,BA.1.1.14
MW155212.1,2020-09-06,D.2
MZ296087.1,2021-05-12,B.1.526
MZ716612.1,2021-06-28,B.1.1.7
OD899063.1,2020-11-15,B.1.1.37
OM840483.1,2021-01-15,B.1.2
MZ252820.1,2021-04-30,B.1.1.7
OU803127.1,2020-11-21,B.1.177.57
ON221242.1,2022-01-05,BA.1.1
OM540252.1,2022-01-19,BA.1.20
OD954250.1,2021-01-24,B.1.1.7
OA992517.1,2020-09-28,B.1.177.4
OU533263.1,2021-07-26,AY.4
MZ266879.1,2021-03-07,B.1.2
OK512210.1,2021-06-07,B.1.1.519
OL967627.1,2021-11-29,AY.103
MZ520081.1,2021-02-09,B.1.2
OM095953.1,2021-12-05,AY.100
MZ368288.1,2021-03-26,B.1.1.7
OM159255.1,2021-12-17,AY.44
MZ088055.1,2021-03-20,B.1.427
MW513622.1,2021-01-04,B.1.599
OM520046.1,2022-01-18,BA.1.1
OL796281.1,2021-11-27,AY.103
OL928243.1,2021-11-10,AY.103
OB984853.1,2020-10-10,B.1.177.56
OD930014.1,2021-01-04,B.1.177
OD900755.1,2020-11-14,B.1.1.7
OU660221.1,2021-08-05,AY.120
OD944894.1,2021-01-02,B.1.1.7
OD967734.1,2021-01-29,B.1.177.10
OM001133.1,2021-09-01,B.1.617.2
OD920047.1,2020-12-20,B.1.1.301
MZ722579.1,2020-12-19,B.1.2
OL715011.1,2021-11-10,AY.44
OM857730.1,2022-01-04,BA.1.15
MZ879685.1,2021-08-02,B.1.617.2
MZ173388.1,2021-04-18,B.1.526
OL729864.1,2021-11-04,AY.44
OV702562.1,2022-01-04,BA.1.17.2
OL754249.1,2021-11-03,AY.26
OP002912.1,2022-01-10,BA.1
OK230712.1,2021-06-12,B.1.1.7
OU794155.1,2021-01-20,B.1.1.7
ON433379.1,2021-11-22,AY.4.2.3
OU812540.1,2021-05-29,AY.6
OM059004.1,2021-12-07,AY.44
OL881149.1,2021-12-02,AY.103
OL802684.1,2021-11-29,AY.103
OL759259.1,2021-11-09,AY.44
OM067082.1,2021-12-08,AY.3.4
OL798156.1,2021-11-30,AY.100
OL776097.1,2021-11-10,AY.25
OM124391.1,2021-12-16,AY.100
MW990297.1,2021-04-04,P.1
MW965042.1,2021-04-02,B.1.1.7
MZ378265.1,2021-04-29,P.1
ON474228.1,2021-12-05,AY.100
OL717303.1,2021-11-18,AY.44
MW779439.1,2021-02-24,B.1.2
OD931327.1,2021-01-03,B.1.1.7
OM073554.1,2021-12-20,BA.1.15
OL898209.1,2021-12-08,AY.119.2
MZ322437.1,2021-05-13,B.1.1.7
OL749759.1,2021-11-16,AY.3
OL708614.1,2021-11-11,AY.119
OM779694.1,2021-08-03,AY.44
MW773555.1,2021-02-15,B.1.1.7
OD913841.1,2020-12-20,B.1.1.7
OM201916.1,2021-12-13,AY.44
MZ282446.1,2021-05-02,B.1.1.7
OK623322.1,2021-04-04,B.1.526
OK193559.1,2021-03-27,B.1.1.7
OL792093.1,2021-09-13,AY.4
BS003019.1,2022-01-22,BA.1.1.2
OL797011.1,2021-11-27,AY.103
OM466247.1,2021-12-03,AY.25.1
OW463835.1,2021-12-27,BA.1.15
OL429969.1,2021-10-15,AY.44
OM054048.1,2021-12-11,AY.3
ON618850.1,2021-10-11,AY.103
MZ280955.1,2021-05-08,B.1.1.7
ON188388.1,2022-01-24,BA.1.1
OD955529.1,2021-01-23,B.1.1.7
OL522814.1,2021-06-22,P.1.10
MZ499737.1,2021-01-05,B.1.2
MZ271292.1,2021-04-16,B.1.1.7
OM821774.1,2022-01-28,BA.1.1
ON575115.1,2021-05-24,P.1
OD960244.1,2021-01-08,B.1.1.7
OL753763.1,2021-11-01,AY.103
OM513245.1,2022-01-19,BA.1.15
MZ244518.1,2021-05-09,B.1.1.7
OM087616.1,2021-12-21,BA.1.1
MW496026.1,2020-11-23,B.1.2
OL950943.1,2021-11-08,AY.44
OK188492.1,2021-02-16,B.1.526
ON338917.1,2021-12-07,AY.4
OV133443.1,2021-11-08,AY.43.9
OW529515.1,2022-01-06,BA.1
MW788809.1,2021-02-22,B.1.400
OM124780.1,2021-12-15,BA.1.1.18
MZ690419.1,2021-07-06,B.1.1.7
ON265658.1,2022-01-13,BA.1.17
OD945849.1,2021-01-18,B.1.1.7
OM331379.1,2022-01-04,BA.1.1
OD924132.1,2020-12-29,B.1.1.7
OM355244.1,2022-01-08,BA.1.1
OM433442.1,2021-06-03,B.1.637
OL802510.1,2021-11-29,AY.44
MZ167798.1,2021-04-14,B.1.1.7
MZ035085.1,2021-04-03,B.1.637
OW511787.1,2022-01-12,BA.1.1.14
MZ493433.1,2021-06-09,B.1.1.7
OM192135.1,2021-12-21,BA.1.1.18
MZ511364.1,2021-04-28,B.1.1.7
OU659593.1,2021-08-11,AY.4
OL789765.1,2021-11-27,AY.44
OM000917.1,2021-12-04,AY.119
OM075936.1,2021-12-14,AY.26
OM038530.1,2021-12-05,AY.103
ON240227.1,2022-01-31,BA.1.1
MW808595.1,2021-03-07,B.1.2
OM776145.1,2022-01-31,BA.1.15
MZ028843.1,2021-03-29,B.1.1.7
OW464037.1,2021-08-10,AY.4
MZ213285.1,2021-04-11,B.1.1.7
OU809266.1,2021-06-26,AY.4
MZ475482.1,2021-05-24,B.1.1.7
OD907084.1,2020-12-10,B.1.1.7
MZ377813.1,2020-12-12,B.1.1.416
MZ030601.1,2021-04-08,B.1.1.7
MZ455999.1,2021-03-31,B.1.1.7
OD947349.1,2021-01-20,B.1.1.7
ON305460.1,2022-01-19,BA.1
OL976674.1,2021-12-11,AY.103
OW110008.1,2021-11-17,AY.4
MW629255.1,2021-01-18,B.1.568
OD934311.1,2021-01-08,B.1.1.7
OM024737.1,2021-11-30,AY.103
OU534370.1,2021-07-22,AY.4
OW521399.1,2021-09-22,AY.4
ON673424.1,2022-01-25,BA.1.1
OK547380.1,2020-12-31,B.1
OL829703.1,2021-11-12,AY.117
MZ530221.1,2021-06-17,B.1.1.7
OM495245.1,2022-01-12,BA.1.1
OM765762.1,2021-06-28,AY.38
OW472524.1,2021-11-09,AY.4
ON290925.1,2021-01-18,B.1.160
OM390447.1,2021-12-21,BA.1.1
MZ315793.1,2021-05-07,B.1.1.7
OU806013.1,2021-09-06,AY.4
MZ164812.1,2021-04-21,B.1.1.7
MW796021.1,2021-02-02,B.1.2
OU857509.1,2021-06-09,AY.126
MZ311156.1,2021-05-17,B.1.1.7
OM540334.1,2022-01-23,BA.1.1
OB984152.1,2020-10-15,B.1.177
OL829629.1,2021-11-12,AY.44
OW466530.1,2022-01-06,BA.1.1
ON276659.1,2022-01-20,BA.1.1
MZ555010.1,2021-06-20,B.1.1.7
OL896066.1,2021-11-21,AY.103
OM620473.1,2022-01-29,BA.1.1
OM686555.1,2022-01-26,BA.1.1
MZ164840.1,2021-02-08,B.1.568
OL917793.1,2021-11-30,AY.125
OA990465.1,2020-09-21,B.1.36.17
OM241158.1,2021-10-10,AY.44
OM031540.1,2021-11-23,AY.103
ON118956.1,2022-01-23,BA.1.1
OM358884.1,2022-01-03,BA.1.20
MZ536017.1,2021-06-20,B.1.1.7
OM035896.1,2021-12-14,AY.20
OD932129.1,2021-01-04,B.1.1.7
MZ255769.1,2021-03-11,B.1.1.7
OM775916.1,2022-01-31,BA.1.15
MZ293176.1,2021-05-07,B.1.1.7
OV310398.1,2021-11-08,AY.5
OL786290.1,2021-11-16,AY.3
OM090625.1,2021-12-19,BA.1.1.18
MZ131117.1,2021-04-11,B.1.1.7
OM527836.1,2022-01-18,BA.1.1
OD949002.1,2021-01-18,B.1.1.7
OM994823.1,2021-12-22,AY.118
MZ258246.1,2021-03-17,B.1.429
OU395951.1,2021-06-08,AY.4
OM424247.1,2022-01-10,BA.1.1
OL844692.1,2020-12-14,B.1.369
OD926639.1,2021-01-02,B.1.1.7
ON285427.1,2020-11-13,B.1.160
OU013890.1,2021-02-17,B.1.1.7
OM499412.1,2022-01-19,BA.1.1
ON243541.1,2021-12-28,BA.1.1
OM086453.1,2021-12-21,BA.1.1
MZ280713.1,2021-05-05,B.1.1.7
MZ142773.1,2021-04-23,B.1.526
MZ787089.1,2021-07-17,B.1.1.7
MW905549.1,2021-03-26,B.1.1.7
OV105074.1,2021-04-07,B.1.1.7
ON292634.1,2020-11-16,B.1.453
OV103660.1,2021-09-03,AY.43
OD995891.1,2021-02-14,B.1.1.7
OC998177.1,2020-11-14,AD.2
MW687371.1,2021-01-03,B.1.1
OD995973.1,2021-02-16,B.1.1.7
MW907319.1,2021-03-16,B.1.1.7
MZ073889.1,2021-04-10,B.1.1.7
ON893563.1,2021-09-09,AY.44
MZ746516.1,2021-07-16,B.1.617.2
OU861393.1,2021-09-23,unclassifiable
OL474256.1,2021-02-17,B.1.637
OV313062.1,2021-11-28,AY.4
OM495276.1,2022-01-12,BA.1.15
OD940741.1,2021-01-17,B.1.1.7
OM645810.1,2022-01-19,BA.1.1
MW973762.1,2020-11-13,B.1.243
OL758923.1,2021-11-22,AY.103
OA991377.1,2020-10-05,B.1.1.307
OW519066.1,2021-10-19,AY.4
ON775113.1,2022-01-15,BA.1.15
ON582758.1,2021-11-12,AY.46.3
ON356301.1,2021-12-29,BA.1
ON176360.1,2022-01-11,BA.1.18
OK427177.1,2020-11-08,B.1.36
MZ287887.1,2021-05-05,B.1.526
MZ283346.1,2021-04-25,B.1.1.7
OM132472.1,2021-12-23,BA.1.1
OL332571.1,2021-01-19,B.1.429
OM093683.1,2021-12-22,BA.1.1
ON601245.1,2021-11-08,AY.44
ON579287.1,2021-09-09,AY.99.2
OB986343.1,2020-10-19,B.1.177
OM674074.1,2022-01-30,BA.1.15
ON581218.1,2021-10-02,AY.99.2
MZ010150.1,2021-03-31,B.1.1.7
ON104226.1,2022-01-10,BA.1
MZ431870.1,2021-05-19,B.1.1.7
ON284283.1,2021-07-24,AY.98.1
OX081137.1,2022-01-10,BA.1.1
ON085095.1,2020-10-22,B.1.2
MW835052.1,2021-03-11,B.1.1.7
OD948863.1,2021-01-15,B.1.1.7
MW708227.1,2021-01-26,B.1.596
OM619865.1,2022-01-28,BA.1.15
OL895920.1,2021-11-19,AY.103
OM135871.1,2021-10-06,AY.25
OB990092.1,2020-10-26,B.1.177
OD929134.1,2021-01-08,B.1.1.7
MZ036330.1,2021-04-06,B.1.1.7
MZ164384.1,2021-04-22,B.1.1.7
OM182557.1,2021-09-13,AY.103
